source_id,title,url,source_type,focus,license_note,final_status,local_pdf,bytes
NEW01,Review on Powder-Bed Laser Additive Manufacturing of Inconel 718 Parts,,conference/review_pdf,powder-bed laser AM review; background,local PDF; citation metadata only,downloaded_intake_20260701,NEW01_wang2015.pdf,1745677
NEW02,Mechanisms driving high-cycle fatigue life of as-built Inconel 718 processed by laser powder bed fusion,https://doi.org/10.1016/j.msea.2019.06.003,journal_article_pdf,LPBF fatigue baseline; as-built mechanism evidence,local PDF; citation metadata only,downloaded_intake_20260701,NEW02_watring2019.pdf,5872626
NEW03,Room and elevated temperature fatigue crack propagation behavior of Inconel 718 alloy fabricated by laser powder bed fusion,https://doi.org/10.1016/j.ijfatigue.2020.105802,journal_article_pdf,LPBF fatigue crack-growth evidence,local PDF; citation metadata only,downloaded_intake_20260701,NEW03_kim2020.pdf,8136950
NEW04,Microstructural evolution and mechanical properties of Inconel 718 alloy manufactured by selective laser melting after solution and double ageing treatments,https://doi.org/10.1016/j.jallcom.2022.164988,journal_article_pdf,solution plus double ageing; microstructure and mechanical properties,local PDF; citation metadata only,downloaded_intake_20260701,NEW04_Microstructural_evolution_and_mechanical_properties_of_Inconel_718_alloy_manufactured_by.pdf,20845773
NEW05,Influence of surface conditions and specimen orientation on high cycle fatigue properties of Inconel 718 prepared by laser powder bed fusion,https://doi.org/10.1016/j.ijfatigue.2019.105392,journal_article_pdf,surface condition and orientation fatigue evidence,local PDF; citation metadata only,downloaded_intake_20260701,NEW05_witkin2020.pdf,4974713
NEW06,"Effect of scan speed and laser power on the nature of defects, microstructures and microhardness of 3D-printed Inconel 718",https://doi.org/10.1007/s11665-021-06163-8,journal_article_pdf,"process parameters, defects, microhardness",local PDF; citation metadata only,downloaded_intake_20260701,NEW06_Effect_of_Scan_Speed_and_Laser_Power_on_the_Nature_of_Defects_Microstructures_and_Microhar.pdf,4641138
NEW07,"Simultaneous consideration of relative density, energy consumption and build time for selective laser melted Inconel 718",https://doi.org/10.1016/j.jclepro.2022.133284,journal_article_pdf,SLM process optimisation and cost/process metrics,local PDF; citation metadata only,downloaded_intake_20260701,NEW07_Simultaneous_consideration_of_relative_density_energy_consumption_and_build_time_for_selec.pdf,6400932
NEW08,Laser powder bed fused Inconel 718 in stress-relieved and solution heat-treated conditions,https://doi.org/10.1016/j.matchar.2021.111499,journal_article_pdf,stress relief and solution heat treatment; microstructure/mechanical evidence,local PDF; citation metadata only,downloaded_intake_20260701,NEW08_Laser_powder_bed_fused_Inconel_718_in_stress_relieved_and_solution_heat_treated_conditions.pdf,37632944
NEW09,Outstanding strength-ductility synergy in Inconel 718 superalloy via laser powder bed fusion and thermomechanical treatment,https://doi.org/10.1016/j.addma.2023.103491,journal_article_pdf,thermomechanical treatment; strength-ductility synergy,local PDF; citation metadata only,downloaded_intake_20260701,NEW09_Outstanding_strength_ductility_synergy_in_Inconel_718_superalloy_via_laser_powder_bed_fusi.pdf,24727299
NEW10,Heat treatment for selective laser melting of Inconel 718 alloy with simultaneously enhanced tensile strength and fatigue resistance,https://doi.org/10.1016/j.jallcom.2022.165171,journal_article_pdf,SLM heat treatment with tensile and fatigue improvement,local PDF; citation metadata only,downloaded_intake_20260701,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,21889636
NEW11,The microstructure and fatigue performance of Inconel 718 produced by laser-based powder bed fusion and post heat treatment,https://doi.org/10.1016/j.ijfatigue.2021.106700,journal_article_pdf,laser PBF post heat treatment; microstructure and fatigue,local PDF; citation metadata only,downloaded_intake_20260701,NEW11_The_microstructure_and_fatigue_performance_of_Inconel_718_produced_by_laser_based_powder.pdf,14469518
NEW12,Optimization of the post-process heat treatment of Inconel 718 superalloy fabricated by laser powder bed fusion process,https://www.mdpi.com/2075-4701/11/1/144,open_access_journal_pdf,"heat-treatment optimisation; tensile, hardness, texture",open access; local PDF,downloaded_intake_20260701,NEW12_metals_11_00144_v3.pdf,35345341
NEW13,On the relevance of volumetric energy density in the investigation of Inconel 718 laser powder bed fusion,https://www.mdpi.com/1996-1944/13/3/538,open_access_journal_pdf,LPBF process metrics and hardness,open access; local PDF,downloaded_intake_20260701,NEW13_caiazzo2020.pdf,3779535
NEW14,Influence of homogenization and solution treatments time on microstructure and hardness of Inconel 718 fabricated by laser powder bed fusion,https://www.mdpi.com/1996-1944/13/11/2574,open_access_journal_pdf,homogenisation and solution-treatment time; hardness/microstructure,open access; local PDF,downloaded_intake_20260701,NEW14_materials_13_02574_v2.pdf,15629183
NEW15,Effects of process parameters and heat treatment on microstructure and mechanical characteristics of LPBF Inconel 718,https://www.mdpi.com/2079-6412/13/1/189,open_access_journal_pdf,process parameters plus heat treatment; tensile/hardness evidence,open access; local PDF,downloaded_intake_20260701,NEW15_coatings_13_00189.pdf,8370613
NEW16,Improved properties of additively prepared Inconel 718 alloy post-processed with a new heat treatment,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4798171,preprint_pdf,new heat treatment; mechanical/fatigue candidate evidence,local PDF; preprint citation metadata,downloaded_intake_20260701,NEW16_ssrn_4798171.pdf,8029165
NEW17,Effects of print parameters and heat treatment on fatigue of laser powder bed fused Inconel 718,https://oaktrust.library.tamu.edu/bitstreams/e06ac7ee-208b-4613-88c3-cea2181bc623/download,thesis_pdf,"LPBF IN718 print parameters, heat treatment, fatigue",repository thesis; local PDF,downloaded_intake_20260701,NEW17_MARINO_THESIS_2022.pdf,9294838
